PAGE HITS,USER-AGENT-STRING,DEVICE TYPE,DEVICE MAKER,DEVICE MODEL,DEVICE MODEL VERSION,OS,OS VERSION,OS MAKER,BROWSER,BROWSER VERSION,APPLICATION,APPLICATION VERSION,LANGUAGE CODE,COUNTRY CODE,UNKNOWN PROPERTIES
11774,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Win64; x64; Trident/5.0)",Computer,Unknown,Computer,Unknown,WINDOWS,Vista,Microsoft Corporation,Internet Explorer,9.0,Unknown,Unknown,Unknown,Unknown,6
11748,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0_1 like Mac OS X; ro-RO) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.0.1,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.7,ro,RO,1
11741,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; ms-BN) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.7,ms,BN,1
11727,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-VI) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.7,en,VI,1
11711,"Mozilla/4.0 (compatible; MSIE 6.0; GomezAgent 2.0; Windows NT)",Computer,Unknown,Unknown,Unknown,WINDOWS,Unknown,Microsoft Corporation,Internet Explorer,6.0,Unknown,Unknown,Unknown,Unknown,8
11681,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) Times/1.2.1",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Mozilla,Unknown,Times,1.2.1,en,GB,1
11657,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1 like Mac OS X; zh-CN) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.1,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.7,zh,CN,1
11647,"Mozilla/5.0 (Linux; U; Android 2.3.5; en-gb; GT-I9100P Build/GINGERBREAD) Times/1.2.3",Smartphone,Unknown,GT-I9100P,Unknown,ANDROID,2.3.5,Google Inc.,Mozilla,Unknown,Times,1.2.3,en,gb,3
11646,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1 like Mac OS X; en-US) Times of London/1.3",Smartphone,Apple,iPhone,iPhone,iOS,5.1,Apple Inc.,Mozilla,Unknown,Times of London,1.3,en,US,1
11634,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MS-RTC LM 8; .NET4.0C; .NET4.0E)",Computer,Unknown,Computer,Unknown,WINDOWS,XP,Microsoft Corporation,Internet Explorer,8.0,Unknown,Unknown,Unknown,Unknown,6
11596,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; en-NZ) Times of London/1.3.2",Smartphone,Apple,iPhone,iPhone,iOS,5.1.1,Apple Inc.,Mozilla,Unknown,Times of London,1.3.2,en,NZ,1
11580,"Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_3 like Mac OS X; en-HK) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,4.3.3,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.7,en,HK,1
11503,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; en-NZ) Times of London/1.3",Smartphone,Apple,iPhone,iPhone,iOS,5.1.1,Apple Inc.,Mozilla,Unknown,Times of London,1.3,en,NZ,1
