PAGE HITS,USER-AGENT-STRING,DEVICE TYPE,DEVICE MAKER,DEVICE MODEL,DEVICE MODEL VERSION,DEVICE DISPLAY WIDTH,DEVICE DISPLAY HEIGHT,DEVICE DISPLAY RESOLUTION,OS,OS VERSION,OS MAKER,BROWSER,BROWSER VERSION,APPLICATION,APPLICATION VERSION,LANGUAGE CODE,COUNTRY CODE,UNKNOWN PROPERTIES
36821,"Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_3 like Mac OS X; fr-FR) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,4.3.3,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,fr,FR,5
36434,"Mozilla/5.0 (Linux; U; Android 4.0.3; en-gb; HTC One V Build/IML74K) Times/1.3.0",Unknown,HTC,One V,Unknown,Unknown,Unknown,Unknown,ANDROID,4.0.3,Google Inc.,Unknown,Unknown,Times,1.3.0,en,gb,7
36077,"Mozilla/5.0 (Linux; U; Android 4.0.4; en-gb; LT26i Build/6.1.A.0.454) Times/1.3.0",Unknown,Unknown,LT26i,Unknown,Unknown,Unknown,Unknown,ANDROID,4.0.4,Google Inc.,Unknown,Unknown,Times,1.3.0,en,gb,8
35484,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.92 Safari/537.4",Computer,Unknown,Computer,Unknown,Unknown,Unknown,Unknown,WINDOWS,Vista,Microsoft Corporation,Chrome,22.0.1229.92,Unknown,Unknown,Unknown,Unknown,9
35402,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0",Computer,Unknown,Computer,Unknown,Unknown,Unknown,Unknown,WINDOWS,7,Microsoft Corporation,Firefox,12.0,Unknown,Unknown,Unknown,Unknown,9
35222,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Computer,Unknown,Computer,Unknown,Unknown,Unknown,Unknown,WINDOWS,Vista,Microsoft Corporation,Chrome,21.0.1180.89,Unknown,Unknown,Unknown,Unknown,9
35118,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_1 like Mac OS X; en-GB) Times/1.2.1",Smartphone,Apple,iPhone,iPhone,Unknown,Unknown,Unknown,iOS,4.1,Apple Inc.,Unknown,Unknown,Times,1.2.1,en,GB,5
34844,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; fi-FI) iPadTimesAnvil/2.8.1",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,5.1.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.8.1,fi,FI,5
34462,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; ja-JP) iPadTimesAnvil/2.8.1",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,6.0,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.8.1,ja,JP,5
34247,"Mozilla/5.0 (Linux; U; Android 2.3.7; en-gb; ST25i Build/6.0.B.3.184) Times/1.3.0",Unknown,Unknown,ST25i,Unknown,Unknown,Unknown,Unknown,ANDROID,2.3.7,Google Inc.,Unknown,Unknown,Times,1.3.0,en,gb,8
34208,"Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_3 like Mac OS X; en-IE) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,4.3.3,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,en,IE,5
34158,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1 like Mac OS X; en-US) Sunday Times/2.1.1",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,5.1,Apple Inc.,Unknown,Unknown,Sunday Times,2.1.1,en,US,5
34085,"Mozilla/5.0 (Windows NT 6.0; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1",Computer,Unknown,Computer,Unknown,Unknown,Unknown,Unknown,WINDOWS,Vista,Microsoft Corporation,Firefox,15.0.1,Unknown,Unknown,Unknown,Unknown,9
33923,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:13.0) Gecko/20100101 Firefox/13.0.1",Computer,Unknown,Computer,Unknown,Unknown,Unknown,Unknown,WINDOWS,7,Microsoft Corporation,Firefox,13.0.1,Unknown,Unknown,Unknown,Unknown,9
33496,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; el-GR) iPadTimesAnvil/2.8.1",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,6.0,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.8.1,el,GR,5
33370,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)",Computer,Unknown,Computer,Unknown,Unknown,Unknown,Unknown,WINDOWS,7,Microsoft Corporation,Internet Explorer,8.0,Unknown,Unknown,Unknown,Unknown,9
33366,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; fr-FR) Sunday Times/223",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,6.0,Apple Inc.,Unknown,Unknown,Sunday Times,223,fr,FR,5
33289,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; de-AT) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,Unknown,Unknown,Unknown,iOS,5.1.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,de,AT,5
33206,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3 like Mac OS X; en-GB) Times/1.3.1",Smartphone,Apple,iPhone,iPhone,Unknown,Unknown,Unknown,iOS,4.3,Apple Inc.,Unknown,Unknown,Times,1.3.1,en,GB,5
33115,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; en-AU) Times of London/1.3.2",Smartphone,Apple,iPhone,iPhone,Unknown,Unknown,Unknown,iOS,5.1.1,Apple Inc.,Unknown,Unknown,Times of London,1.3.2,en,AU,5
32994,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10A403",Smartphone,Apple,iPhone,iPhone,Unknown,Unknown,Unknown,iOS,6.0,Apple Inc.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,9
32973,"Mozilla/5.0 (Linux; U; Android 2.3.5; en-gb; GT-I9100P Build/GINGERBREAD) Times/1.3.0",Unknown,Unknown,GT-I9100P,Unknown,Unknown,Unknown,Unknown,ANDROID,2.3.5,Google Inc.,Unknown,Unknown,Times,1.3.0,en,gb,8
