PAGE HITS,USER-AGENT-STRING,DEVICE TYPE,DEVICE MAKER,DEVICE MODEL,DEVICE MODEL VERSION,OS,OS VERSION,BROWSER,BROWSER VERSION,UNKNOWN PROPERTIES
11413,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) Times/1.0.2,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
11381,Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_0_1 like Mac OS X; en-US) Times/1.2.1,Mobile,Apple,iPhone,iPhone,iOS,5.0.1,Mozilla,Unknown,1
11373,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E; InfoPath.3),Computer,Unknown,Unknown,Unknown,Windows,XP,Internet Explorer,8.0,3
11361,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-NG) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
11306,Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; sv-SE) Times/1.3.1,Mobile,Apple,iPhone,iPhone,iOS,5.1.1,Mozilla,Unknown,1
11291,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; MS-RTC LM 8; InfoPath.2; .NET4.0C; .NET4.0E),Computer,Unknown,Unknown,Unknown,Windows,7,Internet Explorer,7.0,3
11281,Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; en-NZ) Times of London/1.3.2,Mobile,Apple,iPhone,iPhone,iOS,6.0,Mozilla,Unknown,1
11267,Mozilla/5.0 (Linux; U; Android 4.0.3; en-gb; HTC Sensation Build/IML74K) Times/1.3.0,Mobile,HTC,Sensation,Unknown,Android,4.0.3,Mozilla,Unknown,2
11229,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.4 (KHTML like Gecko) Chrome/22.0.1229.94 Safari/537.4,Computer,Apple,Unknown,Unknown,Mac OS X,10.6.8,Chrome,22.0.1229.94,2
11151,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1),Computer,Unknown,Unknown,Unknown,Windows,XP,Internet Explorer,7.0,3
